,rt:eventAction,rt:eventCategory,rt:eventLabel,rt:totalEvents
58,25,Scroll,https://www.fordfoundation.org/work/challenging-inequality/natural-resources-and-climate-change/,3
59,25,Scroll,https://www.fordfoundation.org/work/learning/learning-reflections/five-things-to-know-about-our-evaluation-of-build/,1
60,25,Scroll,https://www.fordfoundation.org/work/our-grants/,7
61,25,Scroll,https://www.fordfoundation.org/work/our-grants/building-institutions-and-networks/how-it-works/,2
62,25,Scroll,https://www.fordfoundation.org/work/our-grants/grant-opportunities/,4
63,25,Scroll,https://www.fordfoundation.org/work/our-grants/grants-database/grants-,1
64,25,Scroll,https://www.fordfoundation.org/work/our-grants/grants-database/grants-all,4
65,25,Scroll,https://www.fordfoundation.org/work/our-grants/grants-database/grants-all?minyear=2006&maxyear=2021&page=0&minamount=0&maxamount=30000000&originatingoffices=&thematicareas=&subjects=&grantTypes=%26GrantTypeIds%3D2,1
66,25,Scroll,https://www.fordfoundation.org/work/our-grants/grants-database/grants-all?page=1,1
67,25,Scroll,https://www.fordfoundation.org/work/our-grants/grants-database/grants-all?page=NaN&originatingoffices=%26RegionIds%3D7&minyear=2006&maxyear=2020&search=%26SearchText%3Dhonduran%20black%20fraternity%20org,1
68,25,Scroll,https://www.fordfoundation.org/work/our-grants/how-we-make-grants/,1
69,25,Scroll,https://www.fordfoundation.org/work/our-grants/justfilms/,1
70,25,Scroll,https://www.fordfoundation.org/work/our-grants/justfilms/justfilms-inquiry/,2
71,25% Watched,YouTube,How Our Endowment Works - 5qS_tapYGzE,1
72,25% Watched,YouTube,How the Ford Foundation's Grant Making Works - JSz7TSPA4wQ,1
73,25% Watched,YouTube,The Power of a Name ft. Jon Stryker & Van Jones - leC3PvcYNe8,1
74,404 error,Site error,https://www.fordfoundation.org/work/our-grants/grants-database/grants-,1
75,50,Scroll,https://www.fordfoundation.org/,1
76,50,Scroll,https://www.fordfoundation.org/about/about-ford/,1
77,50,Scroll,https://www.fordfoundation.org/about/about-ford/mission/,1
78,50,Scroll,https://www.fordfoundation.org/about/careers/,4
79,50,Scroll,https://www.fordfoundation.org/about/library/video/the-story-of-the-south-is-the-story-of-america/?gclid=CjwKCAjwoZWHBhBgEiwAiMN66QFXMzA0IcNznUxncLmQyge_Gnn1s1eOrYAhW9FDj8PG0cXzjR95WBoCOjwQAvD_BwE,1
80,50,Scroll,https://www.fordfoundation.org/about/library/video/the-story-of-the-south-is-the-story-of-america/?gclid=CjwKCAjwoZWHBhBgEiwAiMN66Xa9Jh8ePMLq8y13KAQDCXSTv8hOJGocYox4GlO9494XvJ0LRjTDOhoC7u8QAvD_BwE,1
81,50,Scroll,https://www.fordfoundation.org/about/library/video/the-story-of-the-south-is-the-story-of-america/?gclid=EAIaIQobChMIr-mmi63S8QIV2mpvBB0naQHdEAAYASAAEgJmY_D_BwE,1
82,50,Scroll,https://www.fordfoundation.org/about/people/,3
83,50,Scroll,https://www.fordfoundation.org/about/people/board-of-trustees/,1
84,50,Scroll,https://www.fordfoundation.org/about/people/martin-abregu/,1
85,50,Scroll,https://www.fordfoundation.org/about/people/officers/,2
86,50,Scroll,https://www.fordfoundation.org/about/people/rebecca-cokley/,1
87,50,Scroll,https://www.fordfoundation.org/campaigns/grantmaking-glossary/,1
88,50,Scroll,https://www.fordfoundation.org/campaigns/public-interest-tech/public-interest-tech-buzz/,1
89,50,Scroll,https://www.fordfoundation.org/campaigns/the-art-of-change-meet-our-fellows/sandra-cisneros/,1
90,50,Scroll,https://www.fordfoundation.org/just-matters/ford-forum/the-future-of-philanthropy/forum/,1
91,50,Scroll,https://www.fordfoundation.org/just-matters/ford-forum/the-future-of-philanthropy/from-generosity-to-justice/,2
92,50,Scroll,https://www.fordfoundation.org/just-matters/ford-forum/the-future-of-philanthropy/ideas/,2
93,50,Scroll,https://www.fordfoundation.org/just-matters/ford-forum/the-future-of-philanthropy/in-the-media/,1
94,50,Scroll,https://www.fordfoundation.org/just-matters/just-matters/by-author/,1
95,50,Scroll,https://www.fordfoundation.org/just-matters/just-matters/posts/an-evening-with-kumu-hina/,1
96,50,Scroll,https://www.fordfoundation.org/just-matters/just-matters/posts/towards-a-just-south/,1
97,50,Scroll,https://www.fordfoundation.org/just-matters/just-matters/posts/unleashing-the-power-of-endowments-the-next-great-challenge-for-philanthropy/,1
98,50,Scroll,https://www.fordfoundation.org/our-work-around-the-world/andean-region/,2
99,50,Scroll,https://www.fordfoundation.org/search/?q=Grants&p=0,1
100,50,Scroll,https://www.fordfoundation.org/the-latest/news-additional-pages/faqs-generation-equality-forum-commitments/,1
101,50,Scroll,https://www.fordfoundation.org/the-latest/news/ford-foundation-announces-180-million-in-new-funding-for-us-racial-justice-efforts/,1
102,50,Scroll,https://www.fordfoundation.org/the-latest/news/ford-foundation-commits-75-million-in-new-funding-to-the-us-south/,2
103,50,Scroll,https://www.fordfoundation.org/the-latest/news/higher-education-philanthropy-and-public-policy-sectors-unite-in-new-push-to-develop-public-interest-technology/,1
104,50,Scroll,https://www.fordfoundation.org/work/challenging-inequality/,1
105,50,Scroll,https://www.fordfoundation.org/work/challenging-inequality/gender-racial-and-ethnic-justice/,2
106,50,Scroll,https://www.fordfoundation.org/work/challenging-inequality/gender-racial-and-ethnic-justice/gender-based-violence/,1
107,50,Scroll,https://www.fordfoundation.org/work/challenging-inequality/natural-resources-and-climate-change/strategy/,1
108,50,Scroll,https://www.fordfoundation.org/work/learning/learning-reflections/five-things-to-know-about-our-evaluation-of-build/,1
109,50,Scroll,https://www.fordfoundation.org/work/our-grants/,4
110,50,Scroll,https://www.fordfoundation.org/work/our-grants/building-institutions-and-networks/approaches/,1
111,50,Scroll,https://www.fordfoundation.org/work/our-grants/building-institutions-and-networks/how-it-works/,1
112,50,Scroll,https://www.fordfoundation.org/work/our-grants/grant-opportunities/,4
113,50,Scroll,https://www.fordfoundation.org/work/our-grants/grants-database/grants-,1
114,50,Scroll,https://www.fordfoundation.org/work/our-grants/grants-database/grants-all,2
115,50,Scroll,https://www.fordfoundation.org/work/our-grants/grants-database/grants-all?minyear=2006&maxyear=2021&page=0&minamount=0&maxamount=30000000&originatingoffices=&thematicareas=,1
116,50,Scroll,https://www.fordfoundation.org/work/our-grants/grants-database/grants-all?minyear=2006&maxyear=2021&page=0&minamount=0&maxamount=30000000&originatingoffices=&thematicareas=&subjects=&grantTypes=%26GrantTypeIds%3D2,1
117,50,Scroll,https://www.fordfoundation.org/work/our-grants/grants-database/grants-all?page=1,1
